City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
247,Mbaiki,CF,69.89,broken clouds,3.8678,17.9892,Motel MBM
249,Mach,PK,82.81,few clouds,29.8637,67.3298,Naqeebullah Hotel Mach نقیب اللہ ہوٹل مچھ
251,Gat,IL,77.68,clear sky,31.61,34.7642,OlusHome
252,Fonte Boa,BR,72.82,overcast clouds,-2.4959,-66.2662,
255,Ushtobe,KZ,82.8,broken clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
256,Nalut,LY,80.49,clear sky,30.3333,10.85,
257,Anloga,GH,73.27,scattered clouds,5.7947,0.8973,Pin Drop Hotel
260,Guasdualito,VE,70.48,overcast clouds,7.2424,-70.7324,Hotel Cuibas
263,El Seibo,DO,78.33,broken clouds,18.7641,-69.0375,Defensa Civil del Seibo
264,Matay,EG,78.49,clear sky,28.419,30.7792,Nag Aespen
266,Pitimbu,BR,75.79,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
268,Novoselytsya,UA,67.57,scattered clouds,48.2193,26.2653,Pryvatna Sadyba
269,Grand Gaube,MU,68.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
271,Salvador,SV,73.06,overcast clouds,13.8333,-88.9167,Chico's Ranch
273,Vila Franca Do Campo,PT,66.61,few clouds,37.7167,-25.4333,Pestana Bahia Praia
274,Tiznit,MA,86.49,broken clouds,29.5833,-9.5,
276,Cumberland,US,82.9,clear sky,35.0502,-78.8664,American Eagle Inn
277,Atar,MR,82.65,overcast clouds,20.5169,-13.0499,Oumou Elghoura
278,Eyl,SO,78.49,clear sky,7.9803,49.8164,Amiin Hotel
283,Uryupinsk,RU,71.51,scattered clouds,50.8047,42.0138,"Guest house ""Eco-house"""
284,Aksarayskiy,RU,87.15,few clouds,46.7924,48.0119,
292,Hamilton,US,78.75,mist,39.1834,-84.5333,Six Acres Bed & Breakfast
293,Finca Blanco,PA,76.98,overcast clouds,8.3833,-82.8667,Parque Infantil de Finca Blanco
296,Filingue,NE,80.69,broken clouds,14.3521,3.3168,
297,Trinidad,BO,73.36,scattered clouds,-14.8333,-64.9,Hotel Piesta
300,Tabou,CI,74.91,overcast clouds,4.423,-7.3528,hotêl doufoulougou
301,Tessalit,ML,89.08,clear sky,20.1986,1.0114,
302,Gazalkent,UZ,85.37,broken clouds,41.5581,69.7708,Khumson Sanatoriy
303,Sao Joao Da Barra,BR,70.52,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
305,Goundam,ML,82.2,broken clouds,16.4145,-3.6708,
306,Adre,TD,68.72,overcast clouds,13.4667,22.2,
